Controflex Kft - Emissziós adatgyujtés eredménye (verzió: 1.49)
Adatgyujtés kezdete:2016.09.29. 10:15:21

Csatorna megnevezése: 	CO ABB	CO2 ABB	O2 ABB	NO ABB	NOx ABB	SO2 Ysselbach	CFX	
Méréstartományok: 	0...600 ppm	0...50 tf%	0...25 tf%	0...1000 ppm	0...1000 ppm	0...1000 ppm	0...1200 C	

Méréstartomány megváltoztatva mintavételezés alatt! 
Új méréstartomány: 0...600 ppm @ CO ABB
2016-09-29 10:15:22	-1.0819	0.5617	19.6199	11.2343	10.7515	0.0000	-298.2617	
2016-09-29 10:15:23	-0.7922	0.6342	19.6320	11.7172	12.2001	0.0000	-298.8412	
2016-09-29 10:15:25	-1.0819	0.5859	19.6079	10.7515	11.7172	0.0000	-300.0000	
2016-09-29 10:15:26	-0.5025	0.6342	19.6079	12.2001	10.7515	0.0000	-300.0000	
2016-09-29 10:15:27	-1.3717	0.6824	19.6199	11.2343	11.7172	0.0000	-300.0000	
2016-09-29 10:15:28	-1.6614	0.6342	19.6199	11.2343	11.7172	0.0000	-299.4205	
2016-09-29 10:15:30	-1.0819	0.6342	19.6079	11.7172	13.1658	0.0000	-300.0000	
2016-09-29 10:15:31	-0.5025	0.6100	19.6079	11.7172	9.7857	0.0000	-300.0000	
2016-09-29 10:15:32	-0.7922	0.6583	19.6079	11.7172	11.2343	0.0000	-298.8412	
2016-09-29 10:15:33	-0.7922	0.6100	19.5958	11.7172	10.2686	0.0000	-300.0000	
2016-09-29 10:15:35	-1.6614	0.6100	19.6199	12.6830	10.2686	0.2441	-299.4205	
2016-09-29 10:15:36	-0.5025	0.6583	19.5716	10.7515	11.2343	0.0000	-300.0000	
2016-09-29 10:15:37	-0.7922	0.6342	19.6079	10.7515	12.2001	0.2441	-300.0000	
2016-09-29 10:15:38	-1.0819	0.6342	19.5837	11.7172	12.2001	0.0000	-298.8412	
2016-09-29 10:15:40	-1.0819	0.6342	19.5958	11.2343	12.2001	0.0000	-300.0000	
2016-09-29 10:15:41	-1.0819	0.6824	19.6199	12.6830	10.2686	0.0000	-300.0000	
